Datetime,Open,High,Low,Close,Volume
2025-06-06 16:45:00,599.4300,599.4705,599.3350,599.3600,21352
2025-06-06 16:50:00,599.3600,599.4800,599.1400,599.4500,84309
2025-06-06 16:55:00,599.4500,599.5300,575.3941,599.3500,38624
2025-06-06 17:00:00,599.4300,611.2827,575.3941,575.3941,20695
2025-06-06 17:05:00,599.4600,599.6000,564.5945,575.3941,11951
2025-06-06 17:10:00,575.3941,599.6000,564.5945,599.5000,8220
2025-06-06 17:15:00,599.4900,599.5800,599.2800,599.3500,5040
2025-06-06 17:20:00,599.3501,599.4100,599.2450,599.3400,3474
2025-06-06 17:25:00,599.1500,599.5600,599.1500,599.2700,1131
2025-06-06 17:30:00,599.3100,599.4500,599.1700,599.1800,1338
2025-06-06 17:35:00,599.3100,599.4400,599.1400,599.4100,12011
2025-06-06 17:40:00,599.3000,599.4227,599.0687,599.0699,15536
2025-06-06 17:45:00,599.0700,599.0700,598.9900,599.0200,7559
2025-06-06 17:50:00,599.0250,599.0400,598.9900,599.0000,2474
2025-06-06 17:55:00,599.0400,599.0400,598.9700,598.9700,2814
2025-06-06 18:00:00,598.9600,599.0900,598.9300,599.0800,7380
2025-06-06 18:05:00,599.0800,599.2400,598.9400,599.2000,9235
2025-06-06 18:10:00,599.2400,599.2400,598.9801,599.0950,1902
2025-06-06 18:15:00,599.0950,599.1560,598.8500,598.8500,6277
2025-06-06 18:20:00,598.8000,599.1000,598.8000,598.9799,1722
2025-06-06 18:25:00,598.9050,599.1000,598.8300,599.0000,1951
2025-06-06 18:30:00,599.1400,599.1400,598.8700,599.0250,1276562
2025-06-06 18:35:00,599.0250,599.0500,598.9900,598.9901,2409
2025-06-06 18:40:00,599.0100,599.3300,599.0000,599.2500,11376
2025-06-06 18:45:00,599.3200,599.3200,599.2500,599.2600,1379
2025-06-06 18:50:00,599.2500,599.3800,599.2500,599.2500,583
2025-06-06 18:55:00,599.2600,599.3300,599.2500,599.3200,1406
2025-06-06 19:00:00,599.3000,599.5900,599.3000,599.5400,7514
2025-06-06 19:05:00,599.5000,599.5700,599.5000,599.5200,2712
2025-06-06 19:10:00,599.5400,599.6000,599.2200,599.5250,1136
2025-06-06 19:15:00,599.6000,599.6300,599.4500,599.6150,5995
2025-06-06 19:20:00,599.6150,599.7900,599.6000,599.6850,3001
2025-06-06 19:25:00,599.7300,599.7700,599.6000,599.7300,2125
2025-06-06 19:30:00,599.7300,599.7500,599.6000,599.6650,321
2025-06-06 19:35:00,599.6400,599.6700,599.4500,599.5850,1592
2025-06-06 19:40:00,599.6000,599.7000,599.4500,599.5500,2237
2025-06-06 19:45:00,599.5500,599.6000,599.5000,599.5500,1434
2025-06-06 19:50:00,599.5750,599.6500,599.5750,599.6201,720
2025-06-06 19:55:00,599.6200,599.7300,599.5500,599.7300,6534
2025-06-06 20:00:00,599.1400,599.1400,599.1400,599.1400,1275672
